id_cloud,algorithm,Npini,iter_max,D,F,CR,w,wdamp,c1,c2,Smin,Smax,exponent,sigma_initial,sigma_final,time,it,poserror,orierror_1,orierror_2,orierror_3
9,1,100,500,6,0.9,0.75,,,,,,,,,,175.446872234344,50,0.114410101527267,1.17628217764557,1.0537059612569,0.14152341287748
9,1,100,500,6,0.9,0.75,,,,,,,,,,194.999163150787,50,0.0142273975980995,2.57723676199442,0.383231541769387,0.725357680576635
9,1,100,500,6,0.9,0.75,,,,,,,,,,208.182643175125,50,0.0172616829901434,2.13483455483778,0.929779051256246,0.5262861020403
9,1,100,500,6,0.9,0.75,,,,,,,,,,193.142450809479,50,0.0166117213234726,2.24291305558812,0.593061046283928,0.731548984633307
9,1,100,500,6,0.9,0.75,,,,,,,,,,202.638706684113,50,0.0147005741515822,2.13127992851106,0.942867746895866,0.374418986518158
9,1,100,500,6,0.9,0.75,,,,,,,,,,202.353445529938,50,0.00721516837234647,2.55016037069179,0.745590930628864,0.123434309672591
9,1,100,500,6,0.9,0.75,,,,,,,,,,179.708655834198,50,0.106471251484239,2.09738498974251,0.591903584324435,0.716001006870642
9,1,100,500,6,0.9,0.75,,,,,,,,,,203.634631872177,50,0.0103114312288978,2.64009032198188,0.911489535146903,0.536191461847163
9,1,100,500,6,0.9,0.75,,,,,,,,,,210.989691495895,50,0.110009840869614,2.1208921853768,0.0694825803156062,0.475772033996893
9,1,100,500,6,0.9,0.75,,,,,,,,,,171.151881694794,50,0.116762625270838,2.67191645876855,1.45038157364569,0.332747685996272
9,1,100,500,6,0.9,0.75,,,,,,,,,,194.882568836212,50,0.013732744045998,1.7362323709769,0.0251802055186849,0.557392693820361
9,1,100,500,6,0.9,0.75,,,,,,,,,,202.956408977509,50,0.0129196538439533,2.22150802651552,0.735573346480932,0.0259050582028103
9,1,100,500,6,0.9,0.75,,,,,,,,,,210.689645767212,50,0.00885238211019037,1.92793232825317,0.584587190512806,0.840599349494711
9,1,100,500,6,0.9,0.75,,,,,,,,,,204.943732023239,50,0.0198561378291922,2.56022619017959,0.822673888115122,0.419077115167848
9,1,100,500,6,0.9,0.75,,,,,,,,,,204.12410736084,50,0.0212019330374524,2.30642373462826,0.984961304038511,0.08977248556673
1,1,100,500,6,0.9,0.75,,,,,,,,,,109.67275929451,50,0,0,0,0
2,1,100,500,6,0.9,0.75,,,,,,,,,,120.887436628342,50,0.0300779101901981,1.12129431432474,0,0
3,1,100,500,6,0.9,0.75,,,,,,,,,,91.2946622371674,50,1.72955338866052,3.40254887766142,0.845477722744765,0.692028075303717
4,1,100,500,6,0.9,0.75,,,,,,,,,,197.191644906998,50,0.00413597359040275,3.03752761314624,1.70519259944367,0.62339054435428
5,1,100,500,6,0.9,0.75,,,,,,,,,,115.108218669891,50,0.172615932864111,0.214353319578294,3.46721252124328,0.334189570744564
6,1,100,500,6,0.9,0.75,,,,,,,,,,120.37025642395,50,0.586473186416803,1.01031608089145,2.90896765100992,1.18391718226
7,1,100,500,6,0.9,0.75,,,,,,,,,,212.122585058212,50,0.010111625546872,0.219138526126831,0.736495388357465,0.134076603020498
8,1,100,500,6,0.9,0.75,,,,,,,,,,199.067344665527,50,0.0399202110001409,0.714904361102253,0.872109731138399,0.319819709072685
9,1,100,500,6,0.9,0.75,,,,,,,,,,174.165736198425,50,0.0918163666905617,2.89584810189888,0.681663772386468,0.438164812910232
10,1,100,500,6,0.9,0.75,,,,,,,,,,175.697405815125,50,0.0202766856955135,4.26625683514889,0.579232966745413,0.585526779624422
11,1,100,500,6,0.9,0.75,,,,,,,,,,213.179969787598,50,0.0290142688570755,0.776951723356383,0.769413239958364,0.419522073513602
12,1,100,500,6,0.9,0.75,,,,,,,,,,221.185971736908,50,0.0159544714427432,0.160645791626051,0.161563347754562,0.439897675274975
13,1,100,500,6,0.9,0.75,,,,,,,,,,224.845411777496,50,0.0402058665011615,1.69306076894368,0.858296367005322,0.478094231919912
14,1,100,500,6,0.9,0.75,,,,,,,,,,219.997201442718,50,0.0185648092219497,0.778580122001688,0.538563682665183,0.142076091758279
15,1,100,500,6,0.9,0.75,,,,,,,,,,213.831731796265,50,0.0531997512201515,0.551337078531807,2.30966278677471,0.269047706475562
16,1,100,500,6,0.9,0.75,,,,,,,,,,225.575099468231,50,0.0343015208183924,0.691319664360355,0.966646788207206,0.10211284978224
17,1,100,500,6,0.9,0.75,,,,,,,,,,216.60298538208,50,0.0376643518161087,2.14601244484521,0.45536284291803,0.279613063921953
18,1,100,500,6,0.9,0.75,,,,,,,,,,194.19282746315,50,0.0353361554268538,1.06808598212434,1.13231765774427,0.956006000741972
19,1,100,500,6,0.9,0.75,,,,,,,,,,181.348472118378,50,0.168471712120467,1.35264230683379,1.01454496973096,0.135261377504112
20,1,100,500,6,0.9,0.75,,,,,,,,,,90.504487991333,50,2.76589870770827,1.13665745413269,2.46662117615086,179.870244775703
21,1,100,500,6,0.9,0.75,,,,,,,,,,210.890819787979,50,0.00696956277202701,0.850758507090093,0.182787424585394,1.14995424697111
22,1,100,500,6,0.9,0.75,,,,,,,,,,184.467006206512,50,1.05798286247076,0.971824336932055,1.12459985788799,4.80596904297171
23,1,100,500,6,0.9,0.75,,,,,,,,,,230.028533935547,50,0.0196035645712499,0.111780531500859,1.40423419141085,1.08773496051935
24,1,100,500,6,0.9,0.75,,,,,,,,,,228.267220258713,50,0.00834827813041856,1.9266430120741,2.82239214737621,0.745979602327348
25,1,100,500,6,0.9,0.75,,,,,,,,,,228.430389881134,50,0.0931913791464611,0.967172573805249,1.60651475334285,0.450252302691121
26,1,100,500,6,0.9,0.75,,,,,,,,,,237.22549700737,50,0.0797773858573961,0.536174390403484,2.36368772816808,0.0526239665598425
27,1,100,500,6,0.9,0.75,,,,,,,,,,196.107728719711,50,0.0248523879122641,0.424665499139769,1.04494436967453,0.109772605405424
28,1,100,500,6,0.9,0.75,,,,,,,,,,210.249759674072,50,0.039032777438403,0.716355379403816,0.657719747034122,0.175907548005381
29,1,100,500,6,0.9,0.75,,,,,,,,,,200.336735248566,50,0.0976605358247145,1.34544166645875,0.526071767721816,0.887492478332273
30,1,100,500,6,0.9,0.75,,,,,,,,,,126.42708325386,50,4.53184890048722,3.56334176998442,8.4477489800334,175.213382437761
31,1,100,500,6,0.9,0.75,,,,,,,,,,206.629167795181,50,0.0251910111026265,1.58557658334968,0.375875692854189,1.55590209124732
32,1,100,500,6,0.9,0.75,,,,,,,,,,240.255706071854,50,0.00725041653813879,0.255383345766589,0.137275242464799,0.110555185335509
33,1,100,500,6,0.9,0.75,,,,,,,,,,154.361323595047,50,0.457051540291876,0.0869320494318045,0.28599043028382,13.9810460989023
34,1,100,500,6,0.9,0.75,,,,,,,,,,214.112336397171,50,0.0128796761118509,0.292687886821511,0.0504812221341921,0.17019541994321
35,1,100,500,6,0.9,0.75,,,,,,,,,,218.189829111099,50,0.00257086950549819,0.0330323299980474,0.680447903168997,0.137699452287947
36,1,100,500,6,0.9,0.75,,,,,,,,,,209.111868858337,50,0.00683262902168694,0.610604519324386,0.201094925099553,0.215637728641801
37,1,100,500,6,0.9,0.75,,,,,,,,,,128.698744058609,50,1.95908659044778,2.89902879271464,3.22518303840265,142.65481321356
38,1,100,500,6,0.9,0.75,,,,,,,,,,117.550563097,50,3.00284134163915,4.15247912155928,0.0689673935035102,27.6932184901764
39,1,100,500,6,0.9,0.75,,,,,,,,,,103.852356910706,50,2.16931583496228,2.39763212901409,3.49646274266593,188.617196689576
40,1,100,500,6,0.9,0.75,,,,,,,,,,149.728863954544,50,0.025690032175108,0.261485704594049,1.94356469629051,0.126943951240437
41,1,100,500,6,0.9,0.75,,,,,,,,,,140.469437599182,50,2.94934042549499,3.92084890416234,1.28639448059158,23.5854394582639
42,1,100,500,6,0.9,0.75,,,,,,,,,,110.766239881516,50,2.67534672876603,0.287453946100247,1.10211450639889,66.2667042489698
43,1,100,500,6,0.9,0.75,,,,,,,,,,212.990300655365,50,0.0208142141122487,0.761168149266481,0.21496572680853,0.492315410780203
44,1,100,500,6,0.9,0.75,,,,,,,,,,116.729935407639,50,1.65667122509157,1.48045695646973,2.92257216202016,23.3602337222348
1,1,100,500,6,0.9,0.75,,,,,,,,,,120.671635866165,50,0,0,0,0
2,1,100,500,6,0.9,0.75,,,,,,,,,,115.300763130188,50,0.0300779101901981,1.93039166479152,0.737377300737657,0
3,1,100,500,6,0.9,0.75,,,,,,,,,,90.8628127574921,50,7.83340590938797,0.169481960602052,5.88336490445958,180
4,1,100,500,6,0.9,0.75,,,,,,,,,,169.832223176956,50,0.015093781230681,3.4788667212632,1.88676018020961,0.761277188114884
5,1,100,500,6,0.9,0.75,,,,,,,,,,99.0051510334015,50,2.08395772792477,1.00091635599902,0.603413577149559,9.6335022877289
6,1,100,500,6,0.9,0.75,,,,,,,,,,130.279164552689,50,2.15779995322084,1.59553079799098,1.80817125253997,2.01200962385683
7,1,100,500,6,0.9,0.75,,,,,,,,,,203.638803720474,50,0.0221758914933306,1.20793626569664,0.613930351559406,0.569801010950947
8,1,100,500,6,0.9,0.75,,,,,,,,,,205.280529737473,50,0.0867745202800007,0.588042416721014,0.0684379312812522,0.31057201754332
9,1,100,500,6,0.9,0.75,,,,,,,,,,199.580682277679,50,0.0221247521410306,2.77264662336728,0.899117302679852,0.172719000756701
